Property_ID,Neighborhood,Property_Type,Bedrooms,Bathrooms,Square_Footage,Year_Built,Listing_Price,Days_On_Market
PROP-1043,West Bay,Single Family,3.0,1.5,-1172.0,1956.0,"$409,613",59.89562358115739
PROP-1044,DOWNTOWN,Duplex,3.0,2.0,1729.0,1951.0, 472497 ,1.5862521075047815
PROP-1045,North End,SFH,3.0,2.5,1432.0,1955.0,,13.528768932239524
PROP-1046,Suburbs,Townhouse,3.0,1.0,1917.0,1985.0,552968.5,29.691961021654397
PROP-1047,Suburbs,Condo,2.0,2.0,1417.0,1981.0,499183.6,44.737974621191185
PROP-1048,suburbs,Single Family,2.0,2.0,1153.0,1994.0,"$466,884",27.973951206026825
PROP-1049,Downtown,Condo,2.0,2.5,1553.0,1991.0,"$419,974",53.98361151780618
PROP-1050,Westbay,Duplex,2.0,3.0,,2002.0, 502704 ,11.626975238327155
PROP-1051,North End,Condo,3.0,1.0,1691.0,1820.0,"$504,014.54",7.113160231589468
PROP-1052,Westbay,Townhouse,2.0,1.5,2102.0,1998.0,"$597,922",1.93986245965896
PROP-1053,West Bay,Townhouse,2.0,3.0,1067.0,1951.0,336820.8,29.809720522049084
PROP-1054,suburbs,Single Family,3.0,2.0,2067.0,2016.0,594867.6,40.83364181143889
PROP-1055,West Bay,Single Family,0.0,2.0,1012.0,1960.0,322730.5,13.81615637392966
PROP-1056,Downtown,Condo,3.0,2.0,1893.0,1999.0,"$554,431.30",33.27944368067706
PROP-1057,Downtown,single family,1.0,2.0,1912.0,1984.0,"$622,308.67",1.8748326034601668
PROP-1058,Downtown,Townhouse,1.0,3.0,1325.0,1964.0,"$469,834.79",3.660147853663668
PROP-1059,Suburbs,town house,-1.0,,1191.0,1980.0,"$498,244",42.344372664959536
PROP-1060,Suburbs,Single Family,2.0,2.5,1171.0,2011.0,"$431,201.25",16.06416643941736
PROP-1061,DOWNTOWN,Single Family,1.0,1.5,1600.0,1977.0,"$509,953",38.94496676284628
PROP-1062,north end,condo,3.0,3.0,1952.0,1974.0,"$604,370",62.37464371317992
PROP-1063,Suburbs,Single Family,3.0,1.0,1486.0,1974.0, 1547137 ,67.01651363739803
PROP-1064,Suburbs,Townhouse,3.0,1.5,667.0,1950.0, 202874 ,6.613061541256233
PROP-1065,suburbs,single family,2.0,3.0,1296.0,2008.0, 470929 ,23.313071465442334
PROP-1066,Downtown,Condo,1.0,1.5,-1281.0,2018.0,Unknown,46.339423657481035
PROP-1067,north end,Single Family,0.0,1.5,1828.0,2023.0,Unknown,52.049704915925915
PROP-1068,Downtown,Condo,2.0,1.0,1859.0,1991.0, 592690 ,53.74639616367025
PROP-1069,,single family,3.0,3.0,1640.0,,"$472,621",9.064562739084364
PROP-1070,North End,Condo,3.0,2.0,2068.0,2015.0,"$585,424",7.484936995868758
PROP-1071,Downtown,Single Family,3.0,2.0,2119.0,1967.0,,31.206998555944345
PROP-1072,Downtown,Condo,2.0,1.5,1321.0,1954.0,"$399,168.99",47.294048814657174
PROP-1073,north end,Townhouse,2.0,2.5,1162.0,1969.0,"$429,943",13.453925185641594
PROP-1074,North End,Single Family,3.0,2.5,1520.0,,512720.9,3.8710763449878702
PROP-1075,North End,Single Family,4.0,1.5,827.0,2011.0,934326.4,44.14944132199863
PROP-1076,North End,Single Family,5.0,2.0,1639.0,1981.0,"$473,576",12.468517866841838
PROP-1077,Downtown,Condo,2.0,1.5,1299.0,2007.0,"$434,201",6.368491236314891
PROP-1078,Suburbs,Condo,2.0,,3824.0,1999.0, 1042701 ,5.594550766146343
PROP-1079,Downtown,Condo,5.0,2.0,2397.0,1987.0,"$706,786",13.237154071090233
PROP-1080,West Bay,Single Family,3.0,3.0,1259.0,2004.0,"$322,195",31.435299467900656
PROP-1081,North End,single family,4.0,1.5,1082.0,1977.0,374857.9,15.532779908517135
PROP-1082,Suburbs,Condo,2.0,2.5,1226.0,2023.0, 441006 ,0.7307402985327099
PROP-1083,Downtown,SFH,3.0,2.5,2131.0,1820.0,582846.2,3.5675965312111595
PROP-1084,Suburbs,nan,3.0,2.0,2148.0,1992.0,"$583,096.15",12.011977569716347
PROP-1085,Suburbs,Single Family,3.0,4.0,2407.0,1985.0,"$645,965",37.727930405408834
PROP-1086,North End,Condo,3.0,2.0,1151.0,2001.0, 389252 ,3.629918491833865
PROP-1087,North End,single family,1.0,1.0,1826.0,1985.0,"$507,594.91",28.786608072043958
PROP-1088,West Bay,single family,3.0,2.0,1186.0,1820.0, 440557 ,4.469629068581158
PROP-1089,Suburbs,Condo,2.0,2.5,2578.0,2007.0,"$678,377.76",8.321920074124096
PROP-1090,Downtown,Condo,3.0,2.0,1164.0,1985.0, 359379 ,6.613944428244413
PROP-1091,North End,nan,-1.0,1.5,-999.0,2019.0,"$351,836",2.4358306828747396
PROP-1092,North End,Single Family,2.0,2.0,1061.0,1958.0,"$450,034.65",38.94451804243374
PROP-1093,suburbs,Single Family,4.0,1.5,1555.0,1970.0,"$515,691",21.787813315442257
PROP-1094,North End,Condo,2.0,2.0,1943.0,2013.0,"$604,005",62.236049133792335
PROP-1095,Suburbs,Condo,3.0,2.0,1902.0,2010.0,"$581,392",3.6445106046906113
PROP-1096,Suburbs,Single Family,99.0,2.5,,1989.0,"$344,205",5.471952505259385
PROP-1097,Suburbs,Single Family,2.0,1.5,1370.0,2005.0,422694.9,12.808008196816143
PROP-1098,Downtown,Single Family,1.0,2.0,1311.0,1953.0,"$402,058",50.815156775875494
PROP-1099,Downtown,Townhouse,3.0,1.5,1025.0,1980.0,"$424,645",12.772755162254008
PROP-1100,Downtown,Single Family,1.0,1.5,1301.0,1976.0,,18.373465968065297
PROP-1101,North End,Single Family,3.0,2.5,2373.0,2007.0,597014.5,12.563893329811162
PROP-1102,Suburbs,Single Family,5.0,3.0,978.0,1974.0,"$430,619.56",2.926890193426201
PROP-1103,Suburbs,Single Family,3.0,2.0,1675.0,2018.0,"$503,501",98.1405380603978
PROP-1104,West Bay,Single Family,2.0,2.5,2391.0,2019.0, 705439 ,27.834319486082762
PROP-1105,downtown,Condo,3.0,3.0,2350.0,1954.0,"$714,398.52",54.26338629359356
PROP-1106,Suburbs,Single Family,3.0,2.5,2618.0,1957.0,"$610,695",37.58962258096253
PROP-1107,North End,Townhouse,1.0,1.5,1727.0,1958.0,"$550,485.97",25.27244999821964
PROP-1108,downtown,Single Family,3.0,4.0,1809.0,, 536677 ,3.288501224740597
PROP-1109,Downtown,Condo,3.0,2.0,1309.0,1956.0,"$329,034",36.024569133264
PROP-1110,Suburbs,Townhouse,3.0,1.5,971.0,2021.0,312698.0,5.909996356322276
PROP-1111,Downtown,Condo,2.0,1.0,1485.0,1964.0,456311.0,
PROP-1112,West Bay,Condo,3.0,2.0,2216.0,1986.0,"$675,617",34.71503811429976
PROP-1113,north end,Single Family,1.0,1.0,663.0,1988.0, 287953 ,53.35089302182737
PROP-1114,North End,Single Family,2.0,1.5,1329.0,1955.0,"$449,008",40.436412288629334
PROP-1115,West Bay,Condo,4.0,1.5,1866.0,2006.0,"$544,499",38.96621796914193
PROP-1116,north end,nan,3.0,2.5,1562.0,1968.0,"$542,522",5.648746289889157
PROP-1117,Downtown,Condo,1.0,3.0,,2012.0,680934.8,
PROP-1118,West Bay,Condo,2.0,1.5,2141.0,1980.0,"$628,308",1.5351077916626965
PROP-1119,suburbs,Condo,2.0,3.0,929.0,1959.0,"$303,047.17",44.48847130506453
PROP-1120,north end,SFH,2.0,3.0,1604.0,2016.0,"$508,340",106.70930694235975
PROP-1121,West Bay,Single Family,2.0,2.5,1205.0,2011.0,"$540,301",10.7336305355558
PROP-1122,Suburbs,Condo,1.0,1.0,1200.0,1952.0,,3.2123975957194966
PROP-1123,Downtown,Duplex,3.0,2.0,954.0,1967.0,"$326,669",22.590521339654874
PROP-1124,downtown,Single Family,3.0,3.0,1691.0,1974.0,"$605,332",67.99808905948936
PROP-1125,Suburbs,Condo,3.0,2.0,2323.0,1969.0,"$625,745",28.101655693516356
PROP-1126,north end,Single Family,3.0,1.5,1740.0,2007.0,"$564,875",1.6767296826046927
PROP-1127,West Bay,Condo,1.0,2.0,934.0,1999.0,"$353,299",128.10646572177234
PROP-1128,Downtown,Single Family,-1.0,2.0,1533.0,1959.0,495424.3,61.741627682093075
PROP-1129,Suburbs,single family,4.0,2.0,,1970.0,565101.6,4.938360716484514
PROP-1130,Suburbs,condo,4.0,1.0,1496.0,1978.0,"$467,879",89.19599299201354
PROP-1131,downtown,Single Family,4.0,1.5,1730.0,1959.0,Unknown,20.968122639815643
PROP-1132,Downtown,Condo,5.0,2.5,1238.0,1962.0,363037.5,16.27684416102209
PROP-1133,Suburbs,condo,3.0,3.0,1438.0,1996.0, 415821 ,21.634852975138845
PROP-1134,Westbay,town house,2.0,1.0,1409.0,1972.0,"$475,032.71",62.972663720050534
PROP-1135,Suburbs,Single Family,3.0,4.0,,1999.0,"$661,225.09",37.704816561871695
PROP-1136,Suburbs,single family,3.0,1.5,1084.0,1953.0,"$347,598.42",2.1376671553730984
PROP-1137,North End,Single Family,3.0,2.0,695.0,2016.0,"$430,168.46",110.62485050473953
PROP-1138,Suburbs,nan,3.0,2.5,2410.0,2002.0,Unknown,5.597039692373775
PROP-1139,,town house,1.0,2.5,1622.0,1951.0,533017.7,47.905251784859395
PROP-1140,Westbay,Condo,2.0,3.0,1007.0,2017.0,"$404,097",35.38417978552131
PROP-1141,DOWNTOWN,Townhouse,5.0,1.5,2079.0,2014.0,"$570,791",7.268586007329701
PROP-1142,Suburbs,Condo,3.0,3.0,1879.0,2006.0, 510014 ,6.552419538448181
PROP-1143,Suburbs,Condo,3.0,1.0,11688.0,2019.0, 706086 ,71.49603861831227
PROP-1144,Suburbs,Single Family,2.0,2.5,1664.0,,516159.3,19.047046191662886
PROP-1145,Downtown,condo,2.0,2.5,3202.0,1968.0,886511.1,37.204444184585334
PROP-1146,North End,Single Family,4.0,2.0,1500.0,1993.0,"$397,624",24.546288040449365
PROP-1147,Suburbs,Townhouse,3.0,1.5,1880.0,2012.0,660230.9,45.48527400526685
PROP-1148,Downtown,condo,4.0,3.0,1968.0,2014.0, 594156 ,22.83646948383516
PROP-1149,DOWNTOWN,Condo,3.0,1.5,3859.0,1988.0,,11.858239436694545
PROP-1150,West Bay,Single Family,3.0,1.0,1346.0,2055.0,"$453,217",15.805567501023717
PROP-1151,downtown,Single Family,2.0,2.5,1332.0,1993.0,"$402,398",68.58412977304909
PROP-1152,Downtown,Single Family,3.0,2.0,8916.0,1961.0,542153.3,22.09119514096844
PROP-1153,Suburbs,Single Family,3.0,2.5,978.0,1971.0,"$317,244",8.403434786126766
PROP-1154,,Single Family,3.0,2.0,1202.0,1963.0,"$402,980",95.45603936453485
PROP-1155,downtown,town house,3.0,1.5,1486.0,1979.0,N/A,55.74040638979164
PROP-1156,North End,Condo,5.0,2.5,2569.0,1993.0,"$719,456.46",
PROP-1157,North End,Single Family,1.0,2.0,1982.0,1820.0,,239.8299611226802
PROP-1158,downtown,single family,4.0,1.5,1601.0,2008.0,"$544,441",41.552111709884926
PROP-1159,North End,single family,2.0,2.5,1304.0,1991.0, 430415 ,6.113478606572096
PROP-1160,Suburbs,Condo,3.0,2.0,689.0,2001.0,"$249,414.38",9.475096317428113
PROP-1161,North End,Condo,1.0,2.0,2912.0,2012.0,"$718,625",41.268601873636314
PROP-1162,North End,town house,2.0,2.0,1530.0,2010.0,"$469,057.98",52.95647733794108
PROP-1163,suburbs,SFH,3.0,2.5,1202.0,1983.0,"$465,913.10",9.560920379758484
PROP-1164,Downtown,nan,1.0,2.5,3104.0,,"$875,079",10.395606051638532
PROP-1165,West Bay,Townhouse,3.0,2.5,993.0,1990.0,,12.841481024221327
PROP-1166,Suburbs,Single Family,5.0,1.0,,1986.0,"$683,827",
PROP-1167,Downtown,town house,2.0,2.5,1568.0,2014.0,Unknown,6.598204982398497
PROP-1168,Downtown,Single Family,4.0,2.0,1980.0,1981.0,"$564,000.99",3.853021556196085
PROP-1169,suburbs,Townhouse,3.0,2.0,1863.0,1957.0,"$526,656",39.756179644036514
PROP-1170,North End,single family,3.0,2.0,1971.0,1967.0,"$517,369",52.85125447618119
PROP-1171,Downtown,Townhouse,2.0,3.0,3204.0,1994.0,N/A,24.32527016926712
PROP-1172,Suburbs,Townhouse,2.0,2.5,3028.0,1982.0,"$823,860",15.830280062108105
PROP-1173,downtown,Townhouse,2.0,1.0,1224.0,1954.0, 399295 ,19.799817203571816
PROP-1174,North End,condo,1.0,2.0,1840.0,2023.0, 636686 ,17.209136483889157
PROP-1175,Downtown,Single Family,2.0,3.0,824.0,1985.0,"$421,843.03",112.64745106886555
PROP-1176,North End,Single Family,3.0,1.0,2041.0,1972.0,"$722,600",51.149192672142874
PROP-1177,Suburbs,single family,4.0,4.0,,1989.0,"$622,646",8.16564045470521
PROP-1178,Westbay,Single Family,4.0,2.0,,1954.0,Unknown,16.96853996689003
PROP-1179,Downtown,Condo,3.0,2.0,1548.0,1983.0,519930.6,27.485129860114444
PROP-1180,Suburbs,Single Family,2.0,1.5,1979.0,1973.0,660201.3,33.22529190695629
PROP-1181,Downtown,Duplex,2.0,1.5,1754.0,1966.0,538579.0,22.101013151870696
PROP-1182,West Bay,Condo,2.0,3.0,1000.0,1820.0, 325760 ,58.14892751830755
PROP-1183,West Bay,Townhouse,2.0,1.5,,1971.0, 344451 ,51.076240446808285
PROP-1184,DOWNTOWN,Single Family,3.0,2.5,1488.0,1964.0,"$530,288",24.6230808195822
PROP-1185,North End,Townhouse,3.0,2.0,1346.0,1964.0,"$474,063",67.44828985588869
PROP-1186,north end,town house,2.0,1.0,1389.0,1974.0, 447801 ,48.67317025144738
PROP-1187,suburbs,SFH,2.0,1.0,952.0,2002.0,"$348,657",52.76957972894455
PROP-1188,Suburbs,Condo,4.0,2.0,1577.0,1970.0,"$489,094.18",109.64506019950585
PROP-1189,downtown,condo,4.0,,2576.0,2015.0,"$772,549",10.845891437101532
PROP-1190,Downtown,Single Family,2.0,2.0,1015.0,1981.0,337788.9,10.90229797975272
PROP-1191,West Bay,Condo,5.0,2.0,1446.0,1970.0,N/A,76.92282644324509
PROP-1192,West Bay,single family,-1.0,1.5,1906.0,2017.0,"$651,031",51.77910531402102
PROP-1193,North End,Single Family,2.0,2.0,872.0,1993.0,343061.8,91.38813866598083
PROP-1194,Suburbs,Single Family,2.0,2.0,1582.0,2015.0, 1730631 ,2.28238213554888
PROP-1195,Suburbs,Single Family,3.0,3.0,2177.0,1963.0,659060.9,34.587301690149395
PROP-1196,North End,Single Family,5.0,2.0,1091.0,1964.0,"$345,409",5.467672428519211
PROP-1197,West Bay,Single Family,4.0,2.0,1633.0,1969.0,Unknown,24.534023927910646
PROP-1198,West Bay,Duplex,2.0,1.0,2124.0,1983.0, 599968 ,5.92560449441803
PROP-1199,North End,Condo,2.0,,3145.0,1985.0,"$892,456.92",4.7969562328076645
PROP-1200,North End,Duplex,3.0,1.5,1605.0,1958.0,"$434,129",0.42850450352821134
PROP-1201,Downtown,single family,3.0,1.0,1212.0,2020.0,"$436,831.27",34.821427221067275
PROP-1202,Downtown,Single Family,2.0,2.0,780.0,1979.0,"$311,284.69",15.566638714613514
PROP-1203,West Bay,Condo,4.0,2.0,1215.0,2012.0,"$385,612",
PROP-1204,North End,single family,3.0,2.0,933.0,1984.0,"$389,869",13.644554541455467
PROP-1205,Downtown,Single Family,4.0,2.0,-2648.0,1962.0,"$725,986",6.477037271302839
PROP-1206,Downtown,Condo,4.0,2.5,2080.0,1995.0, 628613 ,99.47225876235717
PROP-1207,North End,Single Family,3.0,1.5,1038.0,2005.0,"$435,290.81",13.498438302333442
PROP-1208,Downtown,Condo,3.0,2.5,,1958.0,"$446,954.86",14.223853910904099
PROP-1209,Downtown,Condo,3.0,2.0,1596.0,1985.0,"$452,580",64.10930325002508
PROP-1210,suburbs,Single Family,2.0,2.0,2171.0,1952.0,"$603,267",36.52006694037248
PROP-1211,North End,Single Family,3.0,2.0,1841.0,1968.0,575739.4,43.346319828702576
PROP-1212,North End,condo,2.0,1.5,1782.0,1977.0,N/A,35.37122285799568
PROP-1213,downtown,single family,3.0,2.5,1669.0,1972.0,499656.4,102.28444599141042
PROP-1214,North End,Single Family,2.0,2.0,1057.0,2055.0,"$391,533",8.117658708979633
PROP-1215,downtown,nan,2.0,1.5,1603.0,1963.0,"$511,361",157.9701835946478
PROP-1216,Suburbs,Single Family,2.0,2.0,1539.0,1995.0,"$503,460.58",62.21590526456579
PROP-1217,North End,Condo,1.0,,928.0,1964.0,"$301,091",31.118338054240606
PROP-1218,North End,nan,3.0,2.0,2625.0,2016.0,"$663,899.40",38.00333140917043
PROP-1219,West Bay,Single Family,3.0,3.0,1268.0,1964.0,"$327,300.78",36.62655850618192
PROP-1220,North End,Single Family,3.0,1.5,937.0,,"$360,849",2.1059749519032467
PROP-1221,suburbs,Single Family,2.0,1.0,1340.0,1957.0, 383434 ,8.60725727842114
PROP-1222,Downtown,Single Family,1.0,1.5,1427.0,2018.0, 560186 ,113.97193770857967
PROP-1223,Suburbs,Single Family,1.0,2.0,1523.0,2011.0,"$514,581",26.75231954448301
PROP-1224,DOWNTOWN,Condo,2.0,1.5,1419.0,2000.0,"$409,083",16.63843446605016
PROP-1225,downtown,Single Family,4.0,1.0,1552.0,2012.0,"$542,619",50.247618023735086
PROP-1226,,Condo,2.0,3.0,,2017.0,562124.5,26.019988229604778
PROP-1227,Suburbs,nan,2.0,2.5,1612.0,1965.0,"$559,573",0.46375589679605167
PROP-1228,West Bay,Townhouse,2.0,2.5,1777.0,1973.0,"$504,674.85",46.64472990187645
PROP-1229,North End,Condo,2.0,1.5,1813.0,1955.0,"$581,063.36",46.11531467879854
PROP-1230,north end,Single Family,3.0,1.0,1828.0,2006.0,"$607,795",6.317558391479022
PROP-1231,Suburbs,Condo,3.0,1.0,1979.0,1980.0,"$656,074",109.85384630923119
PROP-1232,suburbs,Condo,2.0,2.5,1221.0,1820.0,N/A,8.871953251589503
PROP-1233,Suburbs,single family,1.0,3.0,,1978.0, 412166 ,21.420943691785535
PROP-1234,Downtown,Single Family,2.0,2.0,2174.0,2016.0, 590408 ,4.265426536477897
PROP-1235,North End,Townhouse,2.0,1.0,1354.0,1952.0,"$531,742",32.35856341853384
PROP-1236,Suburbs,single family,2.0,2.0,1495.0,1977.0,,16.475398868411087
PROP-1237,Downtown,Single Family,-1.0,1.5,1451.0,2023.0,"$509,248",15.248699296616985
PROP-1238,North End,Single Family,3.0,2.0,3103.0,1997.0,854190.3,61.40155125066776
PROP-1239,Downtown,single family,3.0,2.0,1151.0,1959.0,420014.8,0.3362701835539826
PROP-1240,Westbay,Townhouse,3.0,2.5,1143.0,1982.0,"$362,658.66",55.97284370510548
PROP-1241,Westbay,Condo,3.0,1.0,1554.0,2016.0,"$471,841.75",29.6570580210692
PROP-1242,West Bay,condo,3.0,1.0,-1464.0,2018.0,"$475,395",149.65158252425528
PROP-1243,Suburbs,Single Family,3.0,,1034.0,1961.0,"$348,399",31.158436470126727
PROP-1244,Downtown,single family,3.0,1.5,6803.0,2006.0,"$445,098",1.9940071251547564
PROP-1245,West Bay,SFH,2.0,1.0,1569.0,1993.0,485816.1,1.8190485671263479
PROP-1246,Suburbs,Single Family,3.0,1.5,1308.0,1962.0,"$410,546",75.14114214723269
PROP-1247,Westbay,Single Family,3.0,1.0,1482.0,1973.0,,64.40695840817922
PROP-1248,Westbay,condo,4.0,2.0,1188.0,1993.0,391480.6,14.85679515246544
PROP-1249,West Bay,Single Family,3.0,2.5,1035.0,2006.0,Unknown,33.68468988901866
PROP-1250,Suburbs,Condo,3.0,1.5,1350.0,1820.0,405353.8,23.539026469925233
PROP-1251,Suburbs,Single Family,2.0,2.0,1090.0,1970.0,"$390,039",119.56810192711215
PROP-1252,West Bay,Single Family,3.0,2.0,967.0,2000.0,402699.2,104.82327088382829
PROP-1253,Suburbs,Single Family,2.0,2.0,770.0,1970.0,"$348,620.38",
PROP-1254,Downtown,Duplex,2.0,3.0,1679.0,2009.0,Unknown,70.46445731716092
PROP-1255,suburbs,Townhouse,2.0,3.0,1335.0,2000.0,"$482,442",84.10414791231895
PROP-1256,Westbay,Duplex,3.0,1.0,2179.0,1970.0,"$658,314",8.574253998880078
PROP-1257,North End,SFH,2.0,2.5,736.0,1955.0,"$351,939.57",62.22638577410811
PROP-1258,suburbs,Single Family,2.0,2.0,1373.0,2022.0,500723.6,43.187938934171314
PROP-1259,Downtown,Condo,4.0,,1676.0,2014.0, 485989 ,115.18793711384154
PROP-1260,North End,single family,2.0,2.0,1247.0,2007.0,"$410,834",29.641810418041814
PROP-1261,,Townhouse,3.0,,1538.0,1955.0,"$568,979.46",3.1154874189624002
PROP-1262,Downtown,Single Family,3.0,2.5,772.0,2014.0, 397697 ,31.843315407748868
PROP-1263,Suburbs,SFH,1.0,1.5,1344.0,1983.0, 442167 ,
PROP-1264,West Bay,Single Family,4.0,2.0,1153.0,2005.0,"$430,818",8.710555675191744
PROP-1265,North End,Single Family,1.0,,2104.0,1952.0,643897.0,17.537184417362592
PROP-1266,North End,Condo,3.0,3.0,1641.0,1991.0,"$590,014.00",31.93946871057305
PROP-1267,North End,SFH,3.0,1.0,2005.0,2011.0,"$606,660.74",16.400084106004666
PROP-1268,Suburbs,Single Family,3.0,2.5,10165.0,,,16.44719931141932
PROP-1269,Suburbs,single family,3.0,1.5,1307.0,1955.0, 416109 ,4.998568296283263
PROP-1270,north end,single family,2.0,1.0,1617.0,2012.0,"$646,855",98.90769678265693
PROP-1271,north end,condo,1.0,2.0,,1969.0,"$325,558.95",48.58958499535567
PROP-1272,West Bay,Townhouse,3.0,1.5,1759.0,1970.0,"$539,214.73",0.04354744021777519
PROP-1273,West Bay,Duplex,3.0,2.5,1843.0,1951.0,Unknown,50.77740133671568
PROP-1274,Suburbs,condo,4.0,1.5,1719.0,2005.0,"$492,261.79",47.11999141093645
PROP-1275,Suburbs,Single Family,4.0,2.5,1306.0,1959.0,"$314,711",0.34225153739687786
PROP-1276,north end,Condo,4.0,1.0,2710.0,2019.0,"$631,712.82",16.14926452098482
PROP-1277,North End,single family,3.0,1.5,1567.0,1972.0,"$459,030.79",32.66563523170217
PROP-1278,North End,Single Family,2.0,1.5,3690.0,1979.0,882467.9,21.09977568062224
PROP-1279,north end,Townhouse,4.0,1.5,1058.0,1986.0,"$429,335",52.67553797725332
PROP-1280,West Bay,Single Family,3.0,1.0,1900.0,2004.0, 580101 ,19.396392969516317
PROP-1281,Suburbs,town house,2.0,1.5,2125.0,1998.0,Unknown,5.847588524803725
PROP-1282,Suburbs,SFH,4.0,2.0,,,"$312,431",131.15097910952377
PROP-1283,Downtown,Condo,4.0,1.5,1428.0,1993.0,"$519,914",9.699362947747861
PROP-1284,suburbs,Condo,3.0,2.0,930.0,1971.0,"$363,367.36",44.26651969204398
PROP-1285,Downtown,Townhouse,1.0,2.0,2288.0,1980.0,"$717,865.03",5.407491985953826
PROP-1286,Suburbs,Condo,2.0,3.0,6780.0,1956.0,531801.8,13.965172923551172
PROP-1287,suburbs,Condo,4.0,3.0,1155.0,1970.0,352286.5,20.420602835456403
PROP-1288,Suburbs,Single Family,5.0,2.0,2134.0,1965.0,,7.471813860268281
PROP-1289,suburbs,Condo,2.0,1.5,1553.0,1969.0,"$516,979.59",20.921722708068387
PROP-1290,Downtown,Single Family,1.0,1.0,2036.0,1992.0,509580.7,5.984352035182789
PROP-1291,Downtown,Condo,4.0,4.0,1796.0,1993.0,"$483,737.44",28.65538309471689
